Orthogroup	i_nil	i_purpurea	i_trifida	i_triloba
OG0034596	INIL12g01396.t1			
OG0034597	INIL12g01360.t1			
OG0034598	INIL12g01321.t1			
OG0034599	INIL12g01312.t1			
OG0034600	INIL12g01297.t1			
OG0034601	INIL12g01288.t1			
OG0034602	INIL12g01286.t1			
OG0034603	INIL12g01156.t1			
OG0034604	INIL12g01019.t1			
OG0034605	INIL12g01015.t1			
OG0034606	INIL12g15812.t1			
OG0034607	INIL12g15807.t1			
OG0034608	INIL12g15801.t1			
OG0034609	INIL12g15758.t1			
OG0034610	INIL12g15729.t1			
OG0034611	INIL12g15726.t1			
OG0034612	INIL12g15715.t1			
OG0034613	INIL12g15702.t1			
OG0034614	INIL12g15699.t1			
OG0034615	INIL12g15693.t1			
OG0034616	INIL12g15683.t1			
OG0034617	INIL12g15668.t1			
OG0034618	INIL12g08380.t1			
OG0034619	INIL12g08381.t1			
OG0034620	INIL12g08388.t1			
OG0034621	INIL12g08390.t1			
OG0034622	INIL12g08418.t1			
OG0034623	INIL12g08442.t1			
OG0034624	INIL12g08445.t1			
OG0034625	INIL12g08502.t1			
OG0034626	INIL12g08505.t1			
OG0034627	INIL12g08506.t1			
OG0034628	INIL12g08514.t1			
OG0034629	INIL12g08553.t1			
OG0034630	INIL12g08571.t1			
OG0034631	INIL12g08582.t1			
OG0034632	INIL12g07264.t1			
OG0034633	INIL12g07281.t1			
OG0034634	INIL12g07289.t1			
OG0034635	INIL12g07290.t1			
OG0034636	INIL12g10305.t1			
OG0034637	INIL12g10309.t1			
OG0034638	INIL12g10313.t1			
OG0034639	INIL12g10344.t1			
OG0034640	INIL12g10371.t1			
OG0034641	INIL12g10373.t1			
OG0034642	INIL12g07309.t1			
OG0034643	INIL12g07322.t1			
OG0034644	INIL12g07327.t1			
OG0034645	INIL12g07352.t1			
OG0034646	INIL12g07364.t1			
OG0034647	INIL12g07387.t1			
OG0034648	INIL12g07396.t1			
OG0034649	INIL12g07411.t1			
OG0034650	INIL12g07414.t1			
OG0034651	INIL12g39990.t1			
OG0034652	INIL12g39997.t1			
OG0034653	INIL12g40038.t1			
OG0034654	INIL12g40048.t1			
OG0034655	INIL12g40052.t1			
OG0034656	INIL12g40056.t1			
OG0034657	INIL12g40057.t1			
OG0034658	INIL12g40060.t1			
OG0034659	INIL12g40075.t1			
OG0034660	INIL12g40087.t1			
OG0034661	INIL12g40093.t1			
OG0034662	INIL12g40138.t1			
OG0034663	INIL12g40145.t1			
OG0034664	INIL12g40148.t1			
OG0034665	INIL12g40167.t1			
OG0034666	INIL12g30828.t1			
OG0034667	INIL12g30838.t1			
OG0034668	INIL12g36397.t1			
OG0034669	INIL12g36403.t1			
OG0034670	INIL12g36404.t1			
OG0034671	INIL12g36408.t1			
OG0034672	INIL12g36425.t1			
OG0034673	INIL12g36435.t1			
OG0034674	INIL12g03017.t1			
OG0034675	INIL12g03012.t1			
OG0034676	INIL12g03011.t1			
OG0034677	INIL12g03006.t1			
OG0034678	INIL12g03005.t1			
OG0034679	INIL12g02993.t1			
OG0034680	INIL12g02979.t1			
OG0034681	INIL12g02956.t1			
OG0034682	INIL12g02934.t1			
OG0034683	INIL12g23261.t1			
OG0034684	INIL12g23280.t1			
OG0034685	INIL12g23284.t1			
OG0034686	INIL12g23299.t1			
OG0034687	INIL12g02043.t1			
OG0034688	INIL12g02050.t1			
OG0034689	INIL12g05763.t1			
OG0034690	INIL12g05769.t1			
OG0034691	INIL12g08592.t1			
OG0034692	INIL12g10997.t1			
OG0034693	INIL12g11006.t1			
OG0034694	INIL12g14677.t1			
OG0034695	INIL12g14681.t1			
OG0034696	INIL12g14683.t1			
OG0034697	INIL12g14687.t1			
OG0034698	INIL12g14697.t1			
OG0034699	INIL12g14699.t1			
OG0034700	INIL12g14715.t1			
OG0034701	INIL12g14719.t2			
OG0034702	INIL12g14726.t1			
OG0034703	INIL12g14744.t1			
OG0034704	INIL12g14745.t1			
OG0034705	INIL12g14754.t1			
OG0034706	INIL12g24547.t1			
OG0034707	INIL12g24551.t1			
OG0034708	INIL12g24566.t1			
OG0034709	INIL12g24571.t1			
OG0034710	INIL12g42483.t1			
OG0034711	INIL12g40343.t1			
OG0034712	INIL12g40359.t1			
OG0034713	INIL12g40360.t1			
OG0034714	INIL12g40362.t1			
OG0034715	INIL12g40375.t1			
OG0034716	INIL12g40379.t1			
OG0034717	INIL12g40387.t1			
OG0034718	INIL12g40388.t1			
OG0034719	INIL12g40389.t1			
OG0034720	INIL12g40394.t1			
OG0034721	INIL12g40413.t1			
OG0034722	INIL12g40414.t1			
OG0034723	INIL12g40417.t1			
OG0034724	INIL12g40427.t1			
OG0034725	INIL12g40430.t1			
OG0034726	INIL12g40443.t1			
OG0034727	INIL12g40447.t1			
OG0034728	INIL12g40448.t1			
OG0034729	INIL12g40457.t1			
OG0034730	INIL12g05479.t1			
OG0034731	INIL12g05513.t1			
OG0034732	INIL12g05515.t1			
OG0034733	INIL12g38493.t1			
OG0034734	INIL12g38508.t1			
OG0034735	INIL12g38509.t1			
OG0034736	INIL12g38512.t1			
OG0034737	INIL12g38516.t1			
OG0034738	INIL12g38525.t1			
OG0034739	INIL12g38527.t1			
OG0034740	INIL12g38530.t1			
OG0034741	INIL12g00206.t1			
OG0034742	INIL12g00210.t1			
OG0034743	INIL12g00213.t1			
OG0034744	INIL12g00215.t1			
OG0034745	INIL12g00217.t1			
OG0034746	INIL12g00220.t1			
OG0034747	INIL12g00237.t1			
OG0034748	INIL12g00243.t1			
OG0034749	INIL12g00244.t1			
OG0034750	INIL12g00250.t1			
OG0034751	INIL12g00251.t1			
OG0034752	INIL12g00256.t1			
OG0034753	INIL12g00277.t1			
OG0034754	INIL12g00292.t1			
OG0034755	INIL12g00295.t1			
OG0034756	INIL12g00303.t1			
OG0034757	INIL12g00311.t1			
OG0034758	INIL12g24947.t1			
OG0034759	INIL12g24941.t1			
OG0034760	INIL12g24933.t1			
OG0034761	INIL12g24902.t1			
OG0034762	INIL12g24880.t1			
OG0034763	INIL12g24866.t1			
OG0034764	INIL12g24859.t1			
OG0034765	INIL12g24856.t1			
OG0034766	INIL12g24854.t1			
OG0034767	INIL12g24851.t1			
OG0034768	INIL12g24847.t1			
OG0034769	INIL12g24839.t1			
OG0034770	INIL12g24786.t1			
OG0034771	INIL12g24756.t1			
OG0034772	INIL12g24750.t1			
OG0034773	INIL12g24742.t1			
OG0034774	INIL12g24714.t1			
OG0034775	INIL12g24713.t1			
OG0034776	INIL12g24701.t1			
OG0034777	INIL12g24698.t1			
OG0034778	INIL12g24692.t1			
OG0034779	INIL12g24686.t1			
OG0034780	INIL12g24682.t1			
OG0034781	INIL12g24680.t1			
OG0034782	INIL12g24668.t1			
OG0034783	INIL12g24634.t1			
OG0034784	INIL12g24631.t1			
OG0034785	INIL12g24594.t1			
OG0034786	INIL12g24591.t1			
OG0034787	INIL12g24590.t1			
OG0034788	INIL12g29016.t1			
OG0034789	INIL12g29112.t1			
OG0034790	INIL12g29115.t1			
OG0034791	INIL12g29118.t1			
OG0034792	INIL12g29121.t1			
OG0034793	INIL12g29124.t1			
OG0034794	INIL12g29129.t1			
OG0034795	INIL12g29147.t1			
OG0034796	INIL12g29167.t1			
OG0034797	INIL12g29168.t1			
OG0034798	INIL12g29178.t1			
OG0034799	INIL12g29189.t1			
OG0034800	INIL12g29202.t1			
OG0034801	INIL12g29211.t1			
OG0034802	INIL12g29222.t1			
OG0034803	INIL12g29243.t1			
OG0034804	INIL12g29244.t1			
OG0034805	INIL12g29254.t1			
OG0034806	INIL12g29260.t1			
OG0034807	INIL12g29264.t1			
OG0034808	INIL12g29268.t2			
OG0034809	INIL12g15266.t1			
OG0034810	INIL12g15271.t1			
OG0034811	INIL12g01606.t1			
OG0034812	INIL12g21807.t1			
OG0034813	INIL12g21811.t1			
OG0034814	INIL12g21828.t1			
OG0034815	INIL12g21845.t1			
OG0034816	INIL12g21890.t1			
OG0034817	INIL12g21897.t1			
OG0034818	INIL12g21899.t1			
OG0034819	INIL12g21912.t1			
OG0034820	INIL12g21935.t1			
OG0034821	INIL12g21949.t1			
OG0034822	INIL12g21956.t1			
OG0034823	INIL12g21964.t1			
OG0034824	INIL12g21968.t1			
OG0034825	INIL12g21970.t1			
OG0034826	INIL12g21992.t1			
OG0034827	INIL12g21996.t1			
OG0034828	INIL12g21999.t1			
OG0034829	INIL12g22008.t1			
OG0034830	INIL12g22009.t1			
OG0034831	INIL12g22011.t1			
OG0034832	INIL12g22013.t1			
OG0034833	INIL12g22025.t1			
OG0034834	INIL12g22029.t1			
OG0034835	INIL12g22054.t1			
OG0034836	INIL12g22076.t1			
OG0034837	INIL12g22128.t1			
OG0034838	INIL12g22150.t1			
OG0034839	INIL12g22161.t1			
OG0034840	INIL12g22189.t1			
OG0034841	INIL12g22221.t1			
OG0034842	INIL12g22224.t1			
OG0034843	INIL12g03580.t1			
OG0034844	INIL12g03557.t1			
OG0034845	INIL12g03547.t1			
OG0034846	INIL12g03541.t1			
OG0034847	INIL12g03538.t1			
OG0034848	INIL12g03462.t1			
OG0034849	INIL12g03446.t1			
OG0034850	INIL12g03444.t1			
OG0034851	INIL12g03379.t1			
OG0034852	INIL12g03377.t1			
OG0034853	INIL12g03354.t1			
OG0034854	INIL12g03348.t1			
OG0034855	INIL12g03346.t1			
OG0034856	INIL12g03205.t1			
OG0034857	INIL12g03187.t1			
OG0034858	INIL12g03184.t1			
OG0034859	INIL12g03162.t1			
OG0034860	INIL12g03152.t1			
OG0034861	INIL12g03107.t2			
OG0034862	INIL12g03063.t1			
OG0034863	INIL12g03031.t1			
OG0034864	INIL13g08364.t1			
OG0034865	INIL13g08306.t1			
OG0034866	INIL13g08302.t1			
OG0034867	INIL13g08280.t1			
OG0034868	INIL13g08243.t1			
OG0034869	INIL13g08216.t1			
OG0034870	INIL13g08197.t1			
OG0034871	INIL13g08191.t1			
OG0034872	INIL13g08181.t1			
OG0034873	INIL13g08126.t1			
OG0034874	INIL13g08095.t1			
OG0034875	INIL13g08086.t1			
OG0034876	INIL13g08084.t1			
OG0034877	INIL13g08041.t1			
OG0034878	INIL13g08037.t1			
OG0034879	INIL13g08030.t1			
OG0034880	INIL13g08016.t1			
OG0034881	INIL13g08006.t1			
OG0034882	INIL13g07959.t1			
OG0034883	INIL13g07861.t1			
OG0034884	INIL13g07779.t1			
OG0034885	INIL13g07687.t1			
OG0034886	INIL13g07685.t1			
OG0034887	INIL13g07683.t1			
OG0034888	INIL13g07679.t1			
OG0034889	INIL13g07647.t1			
OG0034890	INIL13g07613.t1			
OG0034891	INIL13g07606.t1			
